Sr.No.,Title,Unit Price,Total Stock,Sold,Remaining
1,Engineering Drawing (Group 4) -Hindi - Revised NSQF (1200) (9 Hindi + 1 English),120,10,6,4
2,Engineering Drawing (Group 7) -Hindi - Revised NSQF (1200),115,10,0,10
3,Engineering Drawing (Group 9) -Hindi - Revised NSQF (1200),140,10,0,10
4,Engineering Drawing (Group 13) -Hindi- Revised NSQF (1200),110,10,2,8
5,Engineering Drawing (Group 17) -Hindi - Revised NSQF (1200),125,10,1,9
6,Engineering Drawing 1st Year (Group 18) -Hindi - Revised NSQF (1200),130,20,16,4
7,Engineering Drawing 1st Year (Group 19) -Hindi - Revised NSQF (1200),110,20,17,3
8,Engineering Drawing 1st Year (Group 20) -Hindi - Revised NSQF (1200),105,10,4,6
9,Engineering Drawing 1st Year (Group 23) -Hindi - Revised NSQF (1200),85,10,1,9
10,Engineering Drawing 1st Year (Group 24) -Hindi - Revised NSQF (1200),125,15,7,8
11,Engineering Drawing 1st Year (Group 25) -Hindi - Revised NSQF (1200),130,15,10,5
12,Engineering Drawing 1st Year (Group 26) -Hindi - Revised NSQF (1200),90,10,3,7
13,Employability Skills - Student Workbook - Part 1 -Hindi (Revised NSQF) (1200),270,30,26,4
14,Employability Skills - Student Workbook - Part 2 -Hindi (Revised NSQF) (1200),245,30,26,4
15,Workshop Calculation & Science 1st Year (Draughtsman Civil) -Hindi - Revised NSQF (1200),150,10,1,9
16,Workshop Calculation & Science 1st Year (Draughtsman Mechanical) -Hindi - Revised NSQF (1200),145,10,1,9
17,Workshop Calculation & Science 1st Year (Electrician) -Hindi - Revised NSQF (1200),150,15,7,8
18,Workshop Calculation & Science 1st Year (Electronics Mechanic) -Hindi - Revised NSQF (1200),130,10,2,8
19,Workshop Calculation & Science 1st Year (Fitter) -Hindi - Revised NSQF (1200),155,15,5,10
20,Workshop Calculation & Science 1st Year (ICTSM) -Hindi - Revised NSQF (1200),120,10,1,9
21,Workshop Calculation & Science 1st Year (Machinist) -Hindi - Revised NSQF (1200),155,10,2,8
22,Workshop Calculation & Science (Mechanic Diesel & Mechanic Tractor) -Hindi - Revised NSQF (1200),180,10,1,9
23,Workshop Calculation & Science (Mechanic Auto Body Painting) -Hindi- Revised NSQF (1200),155,10,0,10
24,Workshop Calculation & Science 1st Year (MMV) -Hindi - Revised NSQF (1200),160,10,3,7
25,Workshop Calculation & Science (Plumber) - Hindi - Revised NSQF (1200),135,10,0,10
26,Workshop Calculation & Science 1st Year (R&ACT) -Hindi - Revised NSQF (1200),145,10,3,7
27,Workshop Calculation & Science 1st Year (TDM (D&M/PTJ&F) -Hindi - Revised NSQF (1200),160,10,0,10
28,Workshop Calculation & Science 1st Year (Turner) -Hindi - Revised NSQF (1200),155,10,1,9
29,Workshop Calculation & Science (Welder) -Hindi - Revised NSQF (1200),160,10,3,7
30,Workshop Calculation & Science 1st Year (Wireman) -Hindi - Revised NSQF (1200),150,15,4,11
31,Employability Skills - Student Workbook - 2nd Year -Hindi (Revised NSQF) (1200),190,30,28,2
32,Workshop Calculation & Science 2nd Year (Draughtsman Civil) -Hindi - Revised NSQF (1200),135,10,1,9
33,Workshop Calculation & Science 2nd Year (Electrician) -Hindi - Revised NSQF (1200),115,15,6,9
34,Workshop Calculation & Science 2nd Year (Fitter) -Hindi - Revised NSQF (1200),120,15,4,11
35,Workshop Calculation & Science 2nd Year (R&ACT) -Hindi - Revised NSQF (1200),125,10,3,7
36,Workshop Calculation & Science 2nd Year (Turner) -Hindi - Revised NSQF (1200),105,10,1,9
37,Workshop Calculation & Science 2nd Year (Wireman) -Hindi - Revised NSQF (1200),105,10,4,6
38,Carpenter Practical - Hindi - Revised NSQF LEVEL 3 (1200),475,10,1,9
39,Carpenter Theory - Hindi - Revised NSQF LEVEL 3 (1200),380,10,1,9
40,Cosmetology Practical - Hindi - Revised NSQF LEVEL 3 (1200),265,20,8,12
41,Cosmetology Theory Hindi - Revised NSQF LEVEL 3 (1200),185,20,9,11
42,COPA Theory - Hindi - Revised NSQF LEVEL 3 (1200),440,20,10,10
43,COPA - Practical (Volume II of II) Hindi Revised NSQF LEVEL 3 (1200),360,20,7,13
44,Draughtsman Civil 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),355,10,1,9
45,Draughtsman Civil 1st Year Theory - Hindi- Revised NSQF LEVEL 4 (1200),480,10,3,7
46,Draughtsman Civil 2nd Year Practical - Hindi Revised NSQF LEVEL 4 (1200),385,10,1,9
47,Draughtsman Civil 2nd Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),495,10,2,8
48,Draughtsman Mechanical 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),440,15,8,7
49,Draughtsman Mechanical 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),415,15,3,12
50,Drone Technician Theory Hindi - Revised NSQF LEVEL 3 (1200),160,10,0,10
51,Dress Making Practical Hindi - Revised NSQF LEVEL 3 (1200),455,10,1,9
52,Dress Making Theory - Hindi Revised NSQF LEVEL 3 (1200),280,10,2,8
53,Electrician 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),335,30,20,10
54,Electrician 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),345,30,18,12
55,Electrician 1st Year Theory - Hindi Revised NSQF LEVEL 4 (1200),390,30,18,12
56,Electronics Mechanic (Common for TPES) 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),330,20,12,8
57,Electronics Mechanic (Common for TPES) 1st Year Theory - Hindi Revised NSQF LEVEL 4 (1200),440,20,12,8
58,Fashion Design & Technology Practical - Hindi - Revised NSQF LEVEL 3 (1200),405,20,4,16
59,Fashion Design & Technology Theory Hindi - Revised NSQF LEVEL 3 (1200),300,20,4,16
60,Fitter 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),440,30,16,14
61,Fitter 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),450,30,17,13
62,Fitter 2nd Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),305,20,12,8
63,Foundryman Practical - Hindi - Revised NSQF LEVEL 3 (1200),280,10,1,9
64,Foundryman Theory Hindi - Revised NSQF LEVEL 3 (1200),330,10,1,9
65,Health Sanitary Inspector Practical - Hindi - Revised NSQF LEVEL 3 (1200),320,10,0,10
66,Health Sanitary Inspector Theory Hindi - Revised NSQF LEVEL 3 (1200),250,10,0,10
67,Instrument Mechanic 1st Year Practical - Hindi - Revised NSQF LEVEL 4 (1200),435,10,2,8
68,Instrument Mechanic 1st Year Theory - Hindi - Revised NSQF LEVEL 4 (1200),425,10,2,8
